ms,fd,wh
8.4,25,10
7.9,33,0.6
8.4,60,1.2
8.2,33,0.25
6.3,33,0.02
6.5,33,1
7.1,15,1.3
8.6,25,5
7.8,20,0.1
8.4,25,3.5
7.5,33,1.5
8.3,60,2
7.5,130,1.4
6.8,33,1.2
7.2,40,13
6.9,33,1.8
6.6,100,0.5
6.8,33,1.5
7,33,0.1
8,15,0.1
6.3,30,3
6.7,14,1.5
7.8,60,1
7.8,35,4.5
7,25,1.3
5.8,33,0.5
8.3,25,12.2
8.3,33,7.2
8.3,33,12
7.8,25,0.5
7.4,33,0.44
8.3,180,0.4
8.2,25,2.5
7.9,35,2.5
7,15,1.4
8.6,25,0.75
8.3,35,9
8.3,19,8
7.2,20,20
7.9,35,13
7.7,20,0.3
7,80,11
6.9,35,2
7.3,10,11.3
6,27,0.7
6.9,10,0.1
6.9,20,0.4
6.8,17,1
7.1,10,1.8
7.3,35,2
6,29,0.6
7.8,35,0.2
8,25,1.5
7.5,50,1
6,33,1.5
6.5,100,0.1
5.2,15,3.05
6.5,33,12
7.9,35,9
8.2,60,10
7.8,54,1
6.9,35,2
8.5,35,29
8.1,35,0.65
7,5,0.11
7.7,60,3
7.3,60,1
8.2,25,1
7.7,35,1.5
7.7,30,0.57
7.6,30,0.56
7.5,0,1.26
7.1,0,1.25
8.3,25,0.3
6,60,0.75
6.6,20,0.8
7.9,35,10.5
7.8,35,0.53
8.4,60,2
7.5,10,3.5
7,15,0.15
8.1,55,1.5
7.4,10,1.2
5.8,130,1
8.6,60,2
7.9,35,1
8,30,10
8,15,17
7.3,15,42
8,15,5
7.6,15,0.6
8.1,20,6.6
7.2,12,10
7.2,12,6
6.9,28,1
7,33,2
7.1,30,2.5
8.1,25,0.61
6.4,80,0.1
7.1,60,0.3
8.6,33,0.5
7.7,60,0.1
7.1,65,0.2
7,80,0.7
7.5,50,0.3
7.3,21,0.3
8.3,45,6.54
8.5,22,18.4
7.2,33,0.06
6.8,33,15
7.4,60,3
7.4,30,1
7.1,30,1
6.8,10,1
7.8,20,30
9.1,33,22.8
7.3,33,1.8
7.9,25,1.3
7.9,35,0.4
7.4,19,0.1
5,40,0.2
8,60,5.7
5.9,33,1
7.5,20,0.75
6.7,20,0.3
7.3,35,25
6.6,33,0.3
7.4,55,0.65
6.5,120,0.9
7.3,35,0.9
6.5,15,0.1
6.8,35,1
7.1,25,0.81
7,40,0.34
7.2,33,0.1
5.7,60,0.2
7,75,0.12
7,48,4.5
8.1,13,15
7.5,45,51.8
7,130,0.6
6.9,30,0.08
6.8,15,0.05
7.6,6,10.7
6,58,0.1
7.4,20,0.08
6.3,18,7
7.3,13,2
7.3,33,0.4
6.5,28,0.1
8,48,0.2
7.7,31,0.2
5.5,33,3
7.5,38,0.42
7.8,47,2
7.5,83,0.8
6.1,100,0.08
6.5,10,0.1
6.4,30,2
7.5,33,0.18
7.3,40,1.2
7.5,15,3.07
7.5,30,0.95
7.2,44,0.05
7.3,60,0.16
7.3,36,0.4
7.6,25,3
6.6,38,4
7.4,13,0.9
5.4,17,5
7.8,30,15
7.3,51,0.46
7.2,7,0.06
7.6,73,0.03
6.5,44,0.38
6.4,44,0.32
5.3,33,3
6,33,0.8
5.1,7,0.04
7.1,43,1.2
7.5,58,6
7.9,47,10
7.9,48,0.51
7.3,51,2
7.1,9,0.32
5.5,29,0.09
