ms,fd,wh
2.128231706,3.218875825,2.302585093
2.066862759,3.496507561,-0.510825624
2.128231706,4.094344562,0.182321557
2.104134154,3.496507561,-1.386294361
1.840549633,3.496507561,-3.912023005
1.871802177,3.496507561,0
1.960094784,2.708050201,0.262364264
2.151762203,3.218875825,1.609437912
2.054123734,2.995732274,-2.302585093
2.128231706,3.218875825,1.252762968
2.014903021,3.496507561,0.405465108
2.116255515,4.094344562,0.693147181
2.014903021,4.86753445,0.336472237
1.916922612,3.496507561,0.182321557
1.974081026,3.688879454,2.564949357
1.931521412,3.496507561,0.587786665
1.887069649,4.605170186,-0.693147181
1.916922612,3.496507561,0.405465108
1.945910149,3.496507561,-2.302585093
2.079441542,2.708050201,-2.302585093
1.840549633,3.401197382,1.098612289
1.902107526,2.63905733,0.405465108
2.054123734,4.094344562,0
2.054123734,3.555348061,1.504077397
1.945910149,3.218875825,0.262364264
1.757857918,3.496507561,-0.693147181
2.116255515,3.218875825,2.501435952
2.116255515,3.496507561,1.974081026
2.116255515,3.496507561,2.48490665
2.054123734,3.218875825,-0.693147181
2.00148,3.496507561,-0.820980552
2.116255515,5.192956851,-0.916290732
2.104134154,3.218875825,0.916290732
2.066862759,3.555348061,0.916290732
1.945910149,2.708050201,0.336472237
2.151762203,3.218875825,-0.287682072
2.116255515,3.555348061,2.197224577
2.116255515,2.944438979,2.079441542
1.974081026,2.995732274,2.995732274
2.066862759,3.555348061,2.564949357
2.041220329,2.995732274,-1.203972804
1.945910149,4.382026635,2.397895273
1.931521412,3.555348061,0.693147181
1.987874348,2.302585093,2.424802726
1.791759469,3.295836866,-0.356674944
1.931521412,2.302585093,-2.302585093
1.931521412,2.995732274,-0.916290732
1.916922612,2.833213344,0
1.960094784,2.302585093,0.587786665
1.987874348,3.555348061,0.693147181
1.791759469,3.36729583,-0.510825624
2.054123734,3.555348061,-1.609437912
2.079441542,3.218875825,0.405465108
2.014903021,3.912023005,0
1.791759469,3.496507561,0.405465108
1.871802177,4.605170186,-2.302585093
1.648658626,2.708050201,1.115141591
1.871802177,3.496507561,2.48490665
2.066862759,3.555348061,2.197224577
