FOCAL_DEPTH,EQ_MAG_MS,FLAG_TSUNAMI
10.0,7.4,0
60.0,7.5,0
33.0,7.6,0
33.0,6.9,1
25.0,8.4,1
33.0,7.9,1
60.0,8.4,1
33.0,8.2,1
33.0,6.3,1
33.0,7.8,0
60.0,7.8,0
15.0,6.9,0
33.0,7.5,1
600.0,8.0,0
30.0,7.7,0
33.0,8.1,0
100.0,7.8,0
60.0,7.8,0
9.0,6.4,0
400.0,8.0,0
33.0,7.7,0
33.0,6.5,1
60.0,7.9,0
100.0,7.8,0
60.0,7.8,0
60.0,7.9,1
15.0,7.5,0
15.0,7.8,0
30.0,8.3,1
30.0,8.1,1
60.0,7.9,0
10.0,6.2,0
60.0,7.3,1
90.0,8.4,0
25.0,7.8,1
33.0,6.5,0
100.0,7.8,0
33.0,7.0,1
33.0,8.3,0
33.0,8.7,0
15.0,7.1,1
60.0,7.5,1
30.0,7.8,0
340.0,8.4,0
25.0,8.6,1
20.0,7.8,1
25.0,7.8,0
25.0,8.4,1
33.0,7.5,1
150.0,7.9,0
100.0,7.9,0
33.0,8.3,0
33.0,7.9,1
50.0,7.8,1
500.0,7.3,1
60.0,8.3,1
600.0,7.9,0
200.0,7.9,0
35.0,7.4,0
33.0,5.9,1
33.0,7.4,1
130.0,7.5,1
80.0,8.1,0
33.0,6.8,1
220.0,7.0,0
40.0,7.6,0
33.0,8.2,1
40.0,7.2,1
33.0,7.7,0
550.0,7.8,0
80.0,7.5,1
40.0,7.6,1
230.0,8.1,0
33.0,6.9,1
60.0,7.5,0
350.0,7.4,0
200.0,7.8,0
100.0,8.1,0
33.0,6.4,0
70.0,7.9,0
90.0,7.2,1
33.0,8.0,0
60.0,6.2,1
25.0,8.4,0
26.0,7.4,0
50.0,6.7,0
240.0,7.6,0
11.0,7.9,0
160.0,8.0,1
190.0,7.6,0
50.0,7.8,1
17.0,7.7,0
60.0,6.9,0
50.0,7.6,0
25.0,8.0,0
100.0,6.6,1
30.0,7.0,0
50.0,7.5,0
33.0,6.9,1
620.0,7.5,0
33.0,6.8,1
15.0,7.9,1
33.0,7.6,0
30.0,7.0,1
33.0,7.9,1
33.0,7.0,1
230.0,8.1,0
10.0,6.3,0
10.0,7.0,0
33.0,7.6,0
130.0,7.2,1
33.0,7.2,0
15.0,8.0,1
35.0,7.6,1
60.0,7.6,0
110.0,8.1,0
30.0,6.3,1
10.0,7.5,0
25.0,8.1,0
20.0,7.3,0
14.0,6.7,1
60.0,7.8,1
35.0,7.8,1
30.0,8.1,0
16.0,8.1,0
33.0,7.8,0
33.0,8.0,0
60.0,7.5,0
80.0,7.2,0
25.0,7.0,1
180.0,7.5,0
33.0,7.7,0
100.0,7.3,0
40.0,7.8,1
33.0,5.8,1
25.0,8.3,1
60.0,7.7,0
33.0,6.8,0
460.0,7.5,0
100.0,7.8,0
40.0,7.3,0
33.0,7.7,0
120.0,7.5,0
23.0,7.3,1
80.0,7.9,1
60.0,7.6,0
33.0,8.3,1
33.0,8.3,1
25.0,7.8,1
190.0,8.1,0
33.0,7.4,1
180.0,8.3,1
25.0,8.2,1
35.0,7.9,1
33.0,6.2,0
20.0,6.8,1
10.0,5.6,1
60.0,7.7,1
11.0,6.2,0
15.0,7.0,1
10.0,5.8,0
35.0,7.9,1
25.0,8.6,1
10.0,6.0,0
60.0,7.5,1
33.0,7.2,1
600.0,7.6,0
650.0,7.6,0
35.0,8.3,1
19.0,8.3,1
22.0,7.2,1
13.0,7.3,0
20.0,7.2,1
60.0,7.0,1
35.0,7.9,1
20.0,7.7,1
50.0,7.2,1
15.0,6.9,1
33.0,8.3,1
120.0,7.6,0
33.0,7.3,0
33.0,7.3,1
26.0,7.0,0
33.0,6.8,1
50.0,7.1,1
10.0,6.3,1
25.0,6.7,0
10.0,6.3,0
22.0,7.3,1
80.0,7.0,1
100.0,7.9,0
100.0,5.3,1
35.0,6.9,1
33.0,6.0,1
10.0,7.3,1
27.0,8.3,0
27.0,6.0,1
120.0,7.3,0
33.0,6.3,0
10.0,6.9,1
20.0,6.9,1
17.0,6.8,1
23.0,5.7,0
0.0,7.1,1
10.0,7.1,1
33.0,7.1,1
35.0,7.3,1
33.0,5.8,1
33.0,8.1,0
60.0,7.7,1
30.0,6.9,1
7.0,6.8,0
10.0,7.0,0
29.0,6.0,1
33.0,7.0,1
35.0,7.8,1
70.0,7.0,1
60.0,7.6,0
33.0,7.1,1
25.0,8.0,1
50.0,7.5,1
50.0,7.4,0
10.0,7.8,0
30.0,7.5,0
33.0,6.0,1
100.0,6.5,1
7.0,6.5,0
15.0,5.2,1
35.0,6.8,1
12.0,6.0,0
19.0,7.1,0
33.0,6.5,1
30.0,6.0,0
35.0,7.8,1
120.0,6.9,0
33.0,7.1,1
22.0,6.3,0
70.0,6.0,1
35.0,7.1,1
25.0,8.0,0
35.0,7.9,1
50.0,7.8,0
15.0,6.0,0
60.0,8.2,1
54.0,7.8,1
120.0,7.0,0
35.0,6.9,1
40.0,7.6,1
35.0,8.5,1
33.0,6.9,1
15.0,7.4,0
35.0,8.1,1
22.0,7.9,1
60.0,7.7,1
35.0,8.1,1
35.0,7.2,1
5.0,7.0,1
130.0,6.9,1
33.0,7.5,1
30.0,6.5,0
30.0,7.9,1
33.0,7.9,1
60.0,7.7,1
60.0,7.3,1
60.0,7.5,0
400.0,8.1,0
60.0,7.5,1
240.0,7.2,0
25.0,8.2,1
16.0,6.3,1
33.0,6.7,0
35.0,7.7,1
30.0,7.7,1
30.0,7.6,1
0.0,7.5,1
0.0,7.1,1
25.0,8.3,1
60.0,6.0,1
60.0,8.3,1
35.0,7.8,1
20.0,6.6,1
100.0,7.4,1
35.0,7.9,1
110.0,6.5,1
16.0,6.5,1
13.0,6.4,1
150.0,8.0,1
35.0,7.8,1
15.0,4.8,1
16.0,7.2,0
60.0,8.4,1
10.0,7.5,1
75.0,7.3,1
33.0,7.0,1
15.0,7.0,1
55.0,8.1,1
10.0,7.4,1
30.0,7.9,0
130.0,5.8,1
120.0,7.5,0
50.0,7.9,0
60.0,8.6,1
33.0,6.0,0
25.0,7.9,0
100.0,6.9,0
35.0,7.9,1
33.0,8.1,0
50.0,7.6,0
90.0,8.1,0
60.0,7.6,0
33.0,7.6,0
33.0,7.4,0
220.0,7.5,0
12.0,5.6,0
30.0,8.0,1
15.0,8.0,1
15.0,7.3,1
60.0,7.9,1
15.0,8.0,1
15.0,7.6,1
60.0,7.5,0
60.0,7.8,0
70.0,7.0,1
20.0,8.1,1
12.0,7.2,1
33.0,7.5,0
12.0,7.2,1
60.0,7.9,0
28.0,6.9,1
33.0,7.0,1
33.0,8.3,1
30.0,7.1,1
60.0,7.9,0
18.0,7.3,0
18.0,7.3,0
100.0,7.0,1
230.0,7.5,0
70.0,7.3,1
100.0,6.3,0
16.0,7.4,0
25.0,8.1,1
80.0,6.4,1
60.0,7.1,1
33.0,7.8,1
33.0,7.8,1
33.0,7.0,1
33.0,8.6,1
60.0,7.7,1
60.0,7.6,1
65.0,7.1,1
60.0,8.1,0
33.0,7.3,1
60.0,7.8,0
100.0,8.0,0
80.0,7.0,1
200.0,7.7,0
50.0,7.5,1
100.0,6.0,1
100.0,5.5,0
21.0,7.3,1
25.0,8.0,0
25.0,7.9,0
45.0,8.3,1
260.0,6.8,1
16.0,7.7,0
22.0,8.5,1
35.0,7.5,1
33.0,7.2,1
33.0,6.8,0
33.0,6.8,1
60.0,7.4,1
30.0,7.4,1
180.0,7.4,0
30.0,6.5,1
33.0,6.2,1
30.0,7.1,1
33.0,6.5,1
10.0,6.8,1
33.0,7.3,1
20.0,7.8,1
190.0,7.5,0
50.0,6.5,1
69.0,7.2,0
