I_D,FLAG_TSUNA,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPT,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_N,LATITUDE,LONGITUDE,REGION_COD,DEATHS,DEATHS_DES,MISSING,MISSING_DE,INJURIES,INJURIES_D,DAMAGE_MIL,DAMAGE_DES,HOUSES_DES,HOUSES_D_1,HOUSES_DAM,HOUSES_D_2,TOTAL_DEAT,TOTAL_DE_1,TOTAL_MISS,TOTAL_MI_1,TOTAL_INJU,TOTAL_IN_1,TOTAL_DAMA,TOTAL_DA_1,TOTAL_HOUS,TOTAL_HO_1,TOTAL_HO_2,TOTAL_HO_3
9925,Tsu,1900,1,10,,,,,,,,,,,,,INDONESIA,,INDONESIA:  GALELA (HALMAHERA ISLAND),-0.030000000000000,127.250000000000000,170,,,,,,,,,,,,,,,,,,,,,,,,
2566,,1900,1,11,9,7,,,7.800000000000000,,,,,,7.800000000000000,,JAPAN,,JAPAN:  SEA OF JAPAN,36.500000000000000,133.500000000000000,30,,,,,,,,,,,,,,,,,,,,,,,,
2567,,1900,1,14,,,,,,,,,,,,7,INDONESIA,,INDONESIA:  JAVA:  SUKABUMI,-6.840000000000000,106.959999999999994,170,,,,,,,,2,,,,3,,,,,,,,2,,,,3
2569,,1900,1,20,6,33,30,10,7.400000000000000,,7.400000000000000,,,,,,MEXICO,,MEXICO,20.000000000000000,-105.000000000000000,150,,,,,,,,1,,,,,,,,,,,,1,,,,
2571,,1900,5,16,20,12,,60,7.800000000000000,,,,,,7.800000000000000,,MEXICO,,MEXICO:  NEAR COAST OF JALISCO,20.000000000000000,-105.000000000000000,150,,,,,,,,,,,,,,,,,,,,,,,,
2572,,1900,6,7,22,,,,,,,,,,,,VENEZUELA,,"VENEZUELA:  CASANAY (CASANAI),CARIACO",10.300000000000001,-63.299999999999997,160,,,,,,,,2,,,,,,,,,,,,,,,,
2573,,1900,6,21,20,52,,60,7.500000000000000,,7.500000000000000,,,,,,COSTA RICA,,COSTA RICA,10.000000000000000,-85.500000000000000,100,,,,,,,,,,,,,,,,,,,,,,,,
2575,,1900,7,29,6,59,,33,7.600000000000000,,7.600000000000000,,,,,,SOLOMON ISLANDS,,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-10.000000000000000,165.000000000000000,170,,,,,,,,,,,,,,,,,,,,,,,,
6231,Tsu,1900,8,11,4,40,,,,,,,,,,,USA,AK,ALASKA:  SE. ALASKA,58.600000000000001,-137.500000000000000,150,,,,,,,,,,,,,5,1,,,,,,,,,,
6232,Tsu,1900,9,10,21,30,,,6.600000000000000,,6.600000000000000,,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  BISMARCK SEA,-4.000000000000000,152.000000000000000,170,,,,,,,,1,,,,1,,,,,,,,1,,,,1
6234,Tsu,1900,9,17,21,45,,,7.100000000000000,7.100000000000000,,,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  RABAUL HARBOR,-5.000000000000000,148.000000000000000,170,,,,,,,,,,,,,,,,,,,,,,,,
2577,,1900,9,18,,,,,7.900000000000000,,,,,,7.900000000000000,,COLOMBIA,,COLOMBIA,4.600000000000000,-74.000000000000000,160,,,,,,,,,,,,,,,,,,,,,,,,
6574,Tsu,1900,10,7,21,4,,33,6.900000000000000,,6.900000000000000,,,,,,INDONESIA,,INDONESIA:  NW. IRIAN JAYA,-4.000000000000000,140.000000000000000,170,,,,,,,,,,,,,5,1,,,,,,1,1,1,,
2580,,1900,10,9,12,25,,,8.300000000000001,,8.300000000000001,,,,,8,USA,AK,ALASKA:  KODIAK ISLAND,57.090000000000003,-153.479999999999990,150,,,,,,,,1,,,,,,,,,,,,1,,,,
